C001,Dark,Netflix,Sci-Fi,52,2019,8.8,12450,78,India
C002,Money Heist,Netflix,Crime,45,2020,8.3,18700,84,Europe
C003,Mirzapur,Prime,Crime,48,2020,8.4,15900,82,India
C004,The Boys,Prime,Action,55,2021,8.7,14200,76,USA
C005,Panchayat,Prime,Drama,35,2022,8.9,11000,88,India
C006,Stranger Things,Netflix,Sci-Fi,60,2022,8.6,21000,80,USA
C007,Asur,Hotstar,Crime,42,2020,8.5,9800,79,India
C008,The Family Man,Prime,Action,45,2019,8.8,17500,85,India
C009,Wednesday,Netflix,Drama,50,2022,8.2,16800,77,USA
C010,Special Ops,Hotstar,Action,44,2020,8.1,9200,74,India
C011,Narcos,Netflix,Crime,55,2018,8.7,13200,81,USA
C012,Scam 1992,SonyLiv,Drama,48,2020,9.1,14500,90,India
C013,Delhi Crime,Netflix,Crime,47,2019,8.5,12500,83,India
C014,The Crown,Netflix,Drama,58,2021,8.6,10200,75,UK
C015,Kota Factory,Netflix,Drama,40,2021,8.9,13400,88,India
C016,Farzi,Prime,Crime,50,2023,8.4,16000,82,India
C017,Reacher,Prime,Action,55,2022,8.1,11800,73,USA
C018,Arya,Hotstar,Crime,46,2021,7.9,8900,70,India
C019,Breaking Bad,Netflix,Crime,58,2017,9.5,25000,92,USA
C020,Lucifer,Netflix,Drama,50,2020,8.1,14000,76,USA
C021,Hostel Daze,Prime,Comedy,35,2021,8.2,9700,84,India
C022,Gullak,SonyLiv,Comedy,32,2022,8.8,8800,89,India
C023,Peaky Blinders,Netflix,Crime,55,2019,8.8,19500,85,UK
C024,Rocket Boys,SonyLiv,Drama,48,2022,8.9,10200,87,India
C025,Made in Heaven,Prime,Drama,50,2019,8.3,10800,78,India
C026,Sacred Games,Netflix,Crime,54,2018,8.6,16500,81,India
C027,The Witcher,Netflix,Fantasy,60,2021,8.0,15200,72,USA
C028,Criminal Justice,Hotstar,Crime,45,2022,8.1,9400,75,India
C029,Inside Edge,Prime,Drama,42,2019,8.0,8700,74,India
C030,Ozark,Netflix,Crime,55,2020,8.4,13300,79,USA
C031,Aspirants,TVF,Drama,40,2021,9.0,12000,91,India
C032,Pitchers,TVF,Drama,45,2019,8.7,9800,86,India
C033,Human,Hotstar,Drama,48,2022,7.8,8200,69,India
C034,Jack Ryan,Prime,Action,55,2020,8.1,11000,77,USA
C035,She,Hack,Crime,45,2021,7.6,7600,68,India
C036,The Night Manager,Hotstar,Thriller,50,2023,8.5,13800,83,India
C037,Breathe,Prime,Thriller,46,2018,8.2,10400,80,India
C038,1899,Netflix,Sci-Fi,55,2022,7.8,9000,65,Europe
C039,Loki,Hotstar,Fantasy,50,2021,8.4,17000,79,USA
C040,Mindhunter,Netflix,Crime,58,2019,8.6,12500,81,USA
C041,TVF Tripling,TVF,Comedy,35,2022,8.5,8600,88,India
C042,Masoom,SonyLiv,Thriller,45,2023,7.9,7900,71,India
C043,The Bear,Hotstar,Drama,30,2022,8.7,9500,85,USA
C044,Fauda,Netflix,Action,45,2018,8.3,10200,78,Israel
C045,Sex Education,Netflix,Comedy,40,2021,8.2,15800,82,UK
C046,Upload,Prime,Comedy,30,2020,7.9,8900,76,USA
C047,Aranyak,Netflix,Crime,50,2021,7.8,8400,72,India
C048,Campus Diaries,MXPlayer,Drama,35,2023,7.5,6900,70,India
C049,The Glory,Netflix,Drama,55,2022,8.9,14300,87,Korea
C050,Squid Game,Netflix,Thriller,60,2021,8.7,30000,93,Korea
